,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
1329,1952-07-27,11:46:00,"Off Rio de Janeiro, Brazil",Pan American World Airways,Boeing 377 Stratocruiser,27,19,8,1,1,0,0
1330,1952-08-12,,"Palmeira de Goias, Brazil",Transportes Areos Nacionales,Douglas DC-3,24,20,4,24,20,4,0
1331,1952-08-21,01:00:00,"Off Trapani, Italy",Airwork,Handley Page HP-81 Hermes 4A,57,51,6,7,1,6,0
1332,1952-08-26,07:00:00,"Near Khewra, West Pakistan",Military - Pakistan Air Force,Bristol 170 Freighter,18,,,18,,,0
1333,1952-08-29,21:05:00,"Kosti, Sudan",Phoenix Airlines,Douglas DC-2-115B,4,0,4,2,0,2,0
1334,1952-09-06,15:40:00,"Near Farnsborough, England",Private - de Havilland Aircraft,de Havilland 110,1,0,1,1,0,1,29
1335,1952-09-10,,"San Blas, Panama",SAM Colombia,Curtiss C-46,46,,,46,,,0
1336,1952-09-15,,"Wadi Halfa, Sudan",Kalinga Airlines,Douglas C-47A,3,0,3,3,0,3,0
1337,1952-10-05,16:02:00,"Skvoritsy, Russia",Aeroflot,Ilyushin IL-12,21,19,5,21,19,5,0
1338,1952-10-08,,"Off Tarbat Ness, Scotland",Military - Royal Air Force,Avro Shackleton MR-1,14,2,12,14,2,12,0
1339,1952-10-14,,"San Fransisco do Paula, Brazil",Aero Brasil,Douglas DC-3,28,,,14,,,0
1340,1952-10-16,,"Off Kangnung, South Korea",Military - U.S. Air Force,Curtiss-Wright C-46D-CU,25,21,4,25,21,4,0
1341,1952-10-29,08:30:00,"Near Flagstaff, Arizona",Military - U.S. Air Force,Boeing KC-97G Stratofreighter,16,,,16,,,0
1342,1952-11-06,,"Lake Chad, Chad",Union Aeromaritime de Transport,Douglas C-54B-1-DC,6,1,5,5,1,4,0
1343,1952-11-07,03:00:00,"Near Summit, Alaska",Military - U.S. Air Force,Fairchild C-119C,19,14,5,19,14,5,0
1344,1952-11-14,14:45:00,"Near Seoul, South Korea",Military - U.S. Air Force,Fairchild C-119C,44,37,7,44,37,7,0
1345,1952-11-15,,"Near Anchorage, Alaska",Military - U.S. Air Force,Fairchild C-119C,20,15,5,20,15,5,0
1346,1952-11-17,,"Shepard, Montana",Military - U.S. Air Force,Fairchild C-119C-23-FA Flying Boxcar,16,,,9,,,0
1347,1952-11-22,20:15:00,"Mount Gannett, Alaska",Military - U.S. Air Force,Douglas C-124A Globemaster,52,41,11,52,41,11,0
1348,1952-11-28,00:50:00,"Near Tacoma, Washington",Military - U.S. Air Force,Douglas C-54G (DC-4),38,31,7,37,30,7,0
1349,1952-12-06,,"Near Sofia, Bugaria",TABSO,Lisunov Li-2,18,,,18,,,0
1350,1952-12-06,04:40:00,"Off Bermuda-Kindley Field, Bermuda",Cubana de Aviacion,Douglas DC-4,41,33,8,37,30,7,0
1351,1952-12-20,06:30:00,"Moses Lake, Washington",Military - U.S. Air Force,Douglas C-124A Globemaster,115,105,10,87,82,5,0
1352,1952-12-21,,"Off Miami, Florida",Rutas Aéreas Nacionales SA,Curtiss C-46D,3,0,3,3,0,3,0
